TEXT,REACTION
Good morning! 🌞,positive
Thanks a lot! 🙏,positive
Thank you so much. 😊,negative
Stop it 😠,negative
"Ugh, not again. 🙄",negative
What nonsense. 😒,negative
Hell no. 😑,negative
Hello ,neutral
Hi 🙂,neutral
Hey ,neutral
Bye 👋,neutral
That’s so kind of you 💛,positive
You’re the best! 💯,positive
"Cheers, mate! 🍻",positive
I’m so tired of this. 😓,negative
This is bulls**t. 💩,negative
I’m done. 😩,negative
Shut up already. ,negative
Okay 👍,neutral
Sure 🙂,neutral
Got it ✌️,neutral
Take care 🫶,neutral
Just reached 📍,neutral
Yay! That was awesome ,positive
So upsetting ,negative
Unacceptable service ,negative
Not what I signed up ,negative
Uplifting and inspiring ,positive
An embarrassment ,negative
On it.,neutral
I can’t stand this. 😡,negative
Bloody annoying. 🤬,negative
Keep it up! 💪,positive
Nice one! 😎,positive
Feeling awesome today! 😄,positive
I love you 💗,positive
Absolutely dreadful ,negative
You rock! 🤘,positive
Zero satisfaction ,negative
Perfect result! ✔️,positive
Not what I signed up for ,negative
I'm thrilled with this ,positive
This rocks! ,positive
Total waste of time ,negative
That was smooth! 😌,positive
Disappointing experience ,negative
Could go either way ,neutral
Just perfect ,positive
They nailed it!,positive
This is totally nasty,negative
Couldn't be worse ,negative
Hated every bit of it ,negative
I really enjoyed working on this project with you.😊,positive
The client was happy with the final presentation.🎉,positive
That was a great team effort!🤝,positive
I'm proud of how we handled that situation.💪,positive
Thanks for helping me out earlier.🙏,positive
You explained it really well in the meeting.🗣️,positive
That idea you shared was brilliant!💡,positive
I appreciate your quick response.⚡,positive
Great job on fixing the issue so fast.,positive
You’ve been super supportive this week. 🤗,positive
This has been such a productive day.,positive
I’m feeling very motivated today.,positive
The team is really coming together.,positive
You’re doing an amazing job.,positive
So glad we finished everything on time.,positive
I’m happy with the progress we made.,positive
This is exactly what we needed!,positive
You’re really good at explaining things.,positive
That solution was very smart. 💡,positive
It’s always a pleasure working with you🤝,positive
Today’s session was very insightful.🧠,positive
Your leadership really showed today.🧭,positive
Let’s celebrate the small wins too!,positive
